mode,time_cost,
naive,9.166529893875122,
naive,9.238739490509033,
naive,13.787875652313232,
naive,9.223506450653076,
naive,9.087255001068115,
naive,8.639695882797241,
cache,6.67826509475708,
cache,9.302497148513794,
cache,6.550933837890625,
cache,6.303382158279419,
cache,6.349825620651245,
cache,6.486866474151611,
cache,6.4381067752838135,
cache,5.9036102294921875,
cache,5.3702802658081055,
quantization,6.640923500061035,
quantization,5.986996173858643,
quantization,4.11265230178833,
quantization,5.445897817611694,
quantization,5.728713512420654,
quantization,5.944667100906372,
quantization,6.328626394271851,
quantization,6.1736509799957275,
quantization,6.150542259216309,
quantization,6.063861846923828,
